TIME,DTIME,IN,DIN,OUT,DOUT
1440704237,1,3299365577822,20167664,1187929941078,254460
1440704238,1,3299365608331,30509,1187929996674,55596
1440704239,1,3299365615327,6996,1187930120836,124162
1440704240,1,3299366642830,1027503,1187930136405,15569
1440704241,1,3299386501612,19858782,1187930361551,225146
1440704242,1,3299386503327,1715,1187930372602,11051
1440704243,1,3299386513507,10180,1187930395413,22811
1440704244,1,3299387207685,694178,1187930467798,72385
1440704245,1,3299407868621,20660936,1187930780004,312206
1440704246,1,3299407900585,31964,1187930799438,19434
1440704247,1,3299407907707,7122,1187930820609,21171
1440704248,1,3299408523333,615626,1187930840409,19800
1440704249,1,3299428595718,20072385,1187931088695,248286
1440704250,1,3299428618302,22584,1187931135765,47070
1440704251,1,3299428621441,3139,1187931146955,11190
1440704252,1,3299429654874,1033433,1187931256883,109928
1440704253,1,3299449593682,19938808,1187931600329,343446
1440704254,1,3299449595838,2156,1187931611687,11358
1440704255,1,3299449621642,25804,1187934115457,2503770
1440704256,1,3299449936428,314786,1187934123187,7730
1440704257,1,3299471183920,21247492,1187934390318,267131
1440704258,1,3299471184264,344,1187934392276,1958
1440704259,1,3299471186095,1831,1187934395114,2838
1440704260,1,3299472760107,1574012,1187934421394,26280
1440704261,1,3299492403900,19643793,1187934668446,247052
1440704262,1,3299492405208,1308,1187934671724,3278
1440704263,1,3299492406986,1778,1187934676226,4502
1440704264,1,3299492570254,163268,1187934682076,5850
1440704265,1,3299512645080,20074826,1187934965804,283728
1440704266,1,3299512646986,1906,1187934977975,12171
1440704267,1,3299512649387,2401,1187934980866,2891
1440704268,1,3299512655082,5695,1187935062540,81674
1440704269,1,3299534072972,21417890,1187935332678,270138
1440704270,1,3299534076994,4022,1187935367822,35144
1440704271,1,3299534078038,1044,1187935371090,3268
1440704272,1,3299534079622,1584,1187935384714,13624
1440704273,1,3299555633039,21553417,1187935720077,335363
1440704274,1,3299555635685,2646,1187935724073,3996
1440704275,1,3299555638116,2431,1187935736847,12774
1440704276,1,3299555642237,4121,1187935740671,3824
1440704277,1,3299576012659,20370422,1187935987295,246624
1440704278,1,3299576013936,1277,1187935999833,12538
1440704279,1,3299576017995,4059,1187936006903,7070
1440704280,1,3299576145523,127528,1187936013395,6492
1440704281,1,3299596650104,20504581,1187936268706,255311
1440704282,1,3299596653277,3173,1187936272300,3594
1440704283,1,3299596655641,2364,1187936276934,4634
1440704284,1,3299596893168,237527,1187939161766,2884832
1440704285,1,3299617890983,20997815,1187939415752,253986
1440704286,1,3299617893245,2262,1187939419632,3880
1440704287,1,3299617894636,1391,1187939433020,13388
1440704288,1,3299618238001,343365,1187939442385,9365
1440704289,1,3299638094941,19856940,1187939681668,239283
1440704290,1,3299638098956,4015,1187939695587,13919
1440704291,1,3299638101116,2160,1187939699367,3780
1440704292,1,3299639690564,1589448,1187939728659,29292
1440704293,1,3299658950013,19259449,1187939990838,262179
1440704294,1,3299658951505,1492,1187939994846,4008
1440704295,1,3299658953914,2409,1187939998906,4060
1440704296,1,3299661106040,2152126,1187940038972,40066
1440704297,1,3299679278628,18172588,1187940253930,214958
1440704298,1,3299679283276,4648,1187940337158,83228
1440704299,1,3299679284662,1386,1187940351084,13926
1440704300,1,3299681985395,2700733,1187940388629,37545
1440704301,1,3299700036409,18051014,1187940608042,219413
1440704302,1,3299700040326,3917,1187940623917,15875
1440704303,1,3299700041574,1248,1187940628711,4794
1440704304,1,3299709086158,9044584,1187940744762,116051
1440704306,2,3299719987048,10900890,1187940888562,143800
1440704307,1,3299719988902,1854,1187940889788,1226
1440704308,1,3299719992442,3540,1187940890460,672
1440704309,1,3299740426055,20433613,1187941147537,257077
1440704310,1,3299740432990,6935,1187941151264,3727
1440704311,1,3299740435472,2482,1187941157668,6404
1440704312,1,3299740438722,3250,1187941162390,4722
1440704313,1,3299761630626,21191904,1187941460276,297886
1440704314,1,3299761632213,1587,1187941461453,1177
1440704315,1,3299761656665,24452,1187943904839,2443386
1440704316,1,3299761658481,1816,1187943905967,1128
1440704317,1,3299781547197,19888716,1187944144781,238814
1440704318,1,3299781550286,3089,1187944154005,9224
1440704319,1,3299781553736,3450,1187944155648,1643
1440704320,1,3299781651765,98029,1187944160259,4611
1440704321,1,3299801938746,20286981,1187944411431,251172
1440704322,1,3299801940612,1866,1187944412643,1212
1440704323,1,3299801943637,3025,1187944414892,2249
1440704324,1,3299802473502,529865,1187944434537,19645
1440704325,1,3299822444970,19971468,1187944674082,239545
1440704326,1,3299822446266,1296,1187944675808,1726
1440704327,1,3299822447172,906,1187944686756,10948
1440704328,1,3299823405034,957862,1187944701406,14650
1440704329,1,3299844132237,20727203,1187945029626,328220
1440704330,1,3299844134819,2582,1187945041736,12110
1440704331,1,3299844137047,2228,1187945044942,3206
1440704332,1,3299852750570,8613523,1187945159095,114153
1440704333,1,3299864513790,11763220,1187945328088,168993
1440704334,1,3299864517541,3751,1187945331363,3275
1440704335,1,3299864519748,2207,1187945343448,12085
1440704336,1,3299876723403,12203655,1187945491597,148149
1440704337,1,3299884563443,7840040,1187945586451,94854
1440704338,1,3299884565734,2291,1187945598982,12531
1440704339,1,3299884567975,2241,1187945602096,3114
1440704340,1,3299884568619,644,1187945604344,2248
1440704341,1,3299884575660,7041,1187945731200,126856
1440704342,1,3299905375912,20800252,1187946210321,479121
1440704343,1,3299905378048,2136,1187946214261,3940
1440704344,1,3299905411358,33310,1187949395757,3181496
1440704345,1,3299905414382,3024,1187949398755,2998
1440704346,1,3299927023488,21609106,1187949659067,260312
1440704347,1,3299927025927,2439,1187949671236,12169
1440704348,1,3299927027787,1860,1187949673838,2602
1440704349,1,3299927029594,1807,1187949677324,3486
1440704350,1,3299948179841,21150247,1187949943158,265834
1440704351,1,3299948181364,1523,1187949946409,3251
1440704352,1,3299948184025,2661,1187949949680,3271
1440704353,1,3299948323108,139083,1187949966279,16599
1440704355,2,3299969089520,20766412,1187950217099,250820
1440704356,1,3299969093512,3992,1187950220386,3287
1440704357,1,3299969095378,1866,1187950232929,12543
1440704358,1,3299969506829,411451,1187950243115,10186
1440704359,1,3299989939990,20433161,1187950489231,246116
1440704360,1,3299989943616,3626,1187950581432,92201
1440704361,1,3299989945937,2321,1187950585201,3769
1440704362,1,3299990971257,1025320,1187950599959,14758
1440704363,1,3300010410867,19439610,1187950781889,181930
1440704364,1,3300010411729,862,1187950785731,3842
1440704365,1,3300010415288,3559,1187950790812,5081
1440704366,1,3300011114917,699629,1187950817264,26452
1440704367,1,3300031671984,20557067,1187951065653,248389
1440704368,1,3300031676151,4167,1187951070062,4409
1440704369,1,3300031680299,4148,1187951083624,13562
1440704370,1,3300035264105,3583806,1187951137742,54118
1440704371,1,3300052785963,17521858,1187951349476,211734
1440704372,1,3300052790196,4233,1187951363315,13839
1440704373,1,3300052795143,4947,1187951367823,4508
1440704374,1,3300061897960,9102817,1187951560096,192273
1440704375,1,3300073939228,12041268,1187952226421,666325
1440704376,1,3300073940534,1306,1187952230977,4556
1440704377,1,3300073944135,3601,1187952236163,5186
1440704378,1,3300081192709,7248574,1187952334811,98648
1440704379,1,3300094523556,13330847,1187952497677,162866
1440704380,1,3300094525445,1889,1187952503132,5455
1440704381,1,3300094527462,2017,1187952517387,14255
1440704382,1,3300114711297,20183835,1187952694905,177518
1440704383,1,3300115218979,507682,1187952708655,13750
1440704384,1,3300115224193,5214,1187952721905,13250
1440704385,1,3300115228220,4027,1187952723179,1274
1440704386,1,3300136074110,20845890,1187952973753,250574
1440704387,1,3300136075036,926,1187952983891,10138
1440704388,1,3300136077000,1964,1187952986675,2784
1440704389,1,3300136080866,3866,1187953066077,79402
1440704390,1,3300156596657,20515791,1187953323271,257194
1440704391,1,3300156599739,3082,1187953326280,3009
1440704392,1,3300156600994,1255,1187953327181,901
1440704393,1,3300156676487,75493,1187953409054,81873
1440704394,1,3300177047387,20370900,1187953653100,244046
1440704395,1,3300177049241,1854,1187953654624,1524
1440704396,1,3300177053929,4688,1187953666771,12147
1440704397,1,3300177359549,305620,1187953673045,6274
1440704398,1,3300197167711,19808162,1187953911467,238422
1440704399,1,3300197169097,1386,1187953915069,3602
1440704400,1,3300197170544,1447,1187953916388,1319
1440704401,1,3300198470880,1300336,1187953935208,18820
1440704402,1,3300217549193,19078313,1187954139458,204250
1440704403,1,3300217550416,1223,1187954140774,1316
1440704404,1,3300217558281,7865,1187954397636,256862
1440704405,1,3300222068121,4509840,1187954464102,66466
1440704406,1,3300238605907,16537786,1187954663082,198980
1440704407,1,3300238607678,1771,1187954664940,1858
1440704408,1,3300238609224,1546,1187954676012,11072
1440704409,1,3300245596689,6987465,1187954793437,117425
1440704410,1,3300259281013,13684324,1187954958805,165368
1440704411,1,3300259284010,2997,1187954970616,11811
1440704412,1,3300259290636,6626,1187955027693,57077
1440704413,1,3300273630832,14340196,1187955201019,173326
1440704414,1,3300280071227,6440395,1187955289478,88459
1440704415,1,3300280073247,2020,1187955291844,2366
1440704416,1,3300280074520,1273,1187955294198,2354
1440704417,1,3300301063683,20989163,1187955555813,261615
1440704418,1,3300301068746,5063,1187955637510,81697
1440704419,1,3300301071038,2292,1187955640056,2546
1440704420,1,3300301073389,2351,1187955652561,12505
1440704421,1,3300322028950,20955561,1187955905545,252984
1440704422,1,3300322030992,2042,1187955908847,3302
1440704423,1,3300322033564,2572,1187955920069,11222
1440704424,1,3300322035370,1806,1187955923411,3342
1440704425,1,3300343091291,21055921,1187956185731,262320
1440704426,1,3300343096084,4793,1187956199715,13984
1440704427,1,3300343098532,2448,1187956203440,3725
1440704428,1,3300343103028,4496,1187956207832,4392
1440704429,1,3300363759109,20656081,1187956469846,262014
1440704430,1,3300363761653,2544,1187956478539,8693
1440704432,2,3300363764699,3046,1187956481615,3076
1440704433,1,3300364723088,958389,1187956507661,26046
1440704434,1,3300385179012,20455924,1187956842814,335153
1440704435,1,3300385181964,2952,1187956846313,3499
1440704436,1,3300385183820,1856,1187956859259,12946
1440704437,1,3300385800192,616372,1187956871881,12622
1440704438,1,3300405910743,20110551,1187957116805,244924
1440704439,1,3300405911335,592,1187957129665,12860
1440704440,1,3300405917182,5847,1187957604144,474479
1440704441,1,3300409197555,3280373,1187957649595,45451
1440704442,1,3300426993532,17795977,1187957865213,215618
1440704443,1,3300426998078,4546,1187957924329,59116
1440704444,1,3300427000921,2843,1187957928782,4453
1440704445,1,3300433394207,6393286,1187958014354,85572
1440704446,1,3300446897336,13503129,1187958178734,164380
1440704447,1,3300446897936,600,1187958182490,3756
1440704448,1,3300446902328,4392,1187958274637,92147
1440704449,1,3300467734881,20832553,1187958527855,253218
1440704450,1,3300467737520,2639,1187958532327,4472
1440704451,1,3300467742388,4868,1187958546979,14652
1440704452,1,3300467814914,72526,1187958554389,7410
1440704453,1,3300488674508,20859594,1187958807863,253474
1440704454,1,3300488682526,8018,1187958898729,90866
1440704455,1,3300488685803,3277,1187958904198,5469
1440704456,1,3300488879158,193355,1187958918052,13854
1440704457,1,3300509352003,20472845,1187959178019,259967
1440704458,1,3300509354041,2038,1187959183218,5199
1440704459,1,3300509355569,1528,1187959187674,4456
1440704460,1,3300509973224,617655,1187959211453,23779
1440704461,1,3300530350808,20377584,1187959453449,241996
1440704462,1,3300530356315,5507,1187959458846,5397
1440704463,1,3300530359535,3220,1187959547389,88543
1440704464,1,3300544148109,13788574,1187959715685,168296
1440704465,1,3300551512807,7364698,1187959803796,88111
1440704466,1,3300551514693,1886,1187959814046,10250
1440704467,1,3300551515687,994,1187959814630,584
1440704468,1,3300572743977,21228290,1187960066537,251907
1440704469,1,3300572748401,4424,1187960308101,241564
1440704470,1,3300572749349,948,1187960308845,744
1440704471,1,3300572751243,1894,1187960309736,891
1440704472,1,3300594444863,21693620,1187960581060,271324
1440704474,2,3300594446097,1234,1187960581960,900
1440704475,1,3300594447413,1316,1187960583011,1051
1440704476,1,3300594450113,2700,1187960593815,10804
